id,Long,Lat
1,32.263,35.064
2,32.263,35.076
3,32.274,35.04
4,32.274,35.052
5,32.274,35.064
6,32.274,35.076
7,32.274,35.088
8,32.274,35.1
9,32.274,35.112
10,32.285,35.016
11,32.285,35.028
12,32.285,35.04
13,32.285,35.052
14,32.285,35.064
15,32.285,35.076
16,32.285,35.088
17,32.285,35.1
18,32.285,35.112
19,32.296,34.944
20,32.296,34.956
21,32.296,35.004
22,32.296,35.016
23,32.296,35.028
24,32.296,35.04
25,32.296,35.052
26,32.296,35.064
27,32.296,35.076
28,32.296,35.088
29,32.296,35.1
30,32.307,34.932
31,32.307,34.944
32,32.307,34.956
33,32.307,34.968
34,32.307,34.992
35,32.307,35.004
36,32.307,35.016
37,32.307,35.028
38,32.307,35.04
39,32.307,35.052
40,32.307,35.064
41,32.307,35.076
42,32.307,35.088
43,32.318,34.896
44,32.318,34.908
45,32.318,34.92
46,32.318,34.932
47,32.318,34.944
48,32.318,34.956
49,32.318,34.968
50,32.318,34.98
51,32.318,34.992
52,32.318,35.004
53,32.318,35.016
54,32.318,35.028
55,32.318,35.04
56,32.318,35.052
57,32.318,35.064
58,32.318,35.076
59,32.318,35.088
60,32.329,34.884
61,32.329,34.896
62,32.329,34.908
63,32.329,34.92
64,32.329,34.932
65,32.329,34.944
66,32.329,34.956
67,32.329,34.968
68,32.329,34.98
69,32.329,34.992
70,32.329,35.004
71,32.329,35.016
72,32.329,35.028
73,32.329,35.04
74,32.329,35.052
75,32.329,35.064
76,32.329,35.076
77,32.34,34.86
78,32.34,34.872
79,32.34,34.884
80,32.34,34.896
81,32.34,34.908
82,32.34,34.92
83,32.34,34.932
84,32.34,34.944
85,32.34,34.956
86,32.34,34.968
87,32.34,34.98
88,32.34,34.992
89,32.34,35.004
90,32.34,35.016
91,32.34,35.028
92,32.34,35.04
93,32.34,35.052
94,32.34,35.064
95,32.351,34.848
96,32.351,34.86
97,32.351,34.872
98,32.351,34.884
99,32.351,34.896
100,32.351,34.908
101,32.351,34.92
102,32.351,34.932
103,32.351,34.944
104,32.351,34.956
105,32.351,34.968
106,32.351,34.98
107,32.351,34.992
108,32.351,35.004
109,32.351,35.016
110,32.351,35.028
111,32.351,35.04
112,32.351,35.052
113,32.351,35.064
114,32.362,34.848
115,32.362,34.86
116,32.362,34.872
117,32.362,34.884
118,32.362,34.896
119,32.362,34.908
120,32.362,34.92
121,32.362,34.932
122,32.362,34.944
123,32.362,34.956
124,32.362,34.968
125,32.362,34.98
126,32.362,34.992
127,32.362,35.004
128,32.362,35.016
129,32.362,35.028
130,32.362,35.04
131,32.362,35.052
132,32.373,34.848
133,32.373,34.86
134,32.373,34.872
135,32.373,34.884
136,32.373,34.896
137,32.373,34.908
138,32.373,34.92
139,32.373,34.932
140,32.373,34.944
141,32.373,34.956
142,32.373,34.968
143,32.373,34.98
144,32.373,34.992
145,32.373,35.004
146,32.373,35.016
147,32.373,35.028
148,32.373,35.04
149,32.373,35.052
150,32.384,34.8
151,32.384,34.812
152,32.384,34.824
153,32.384,34.836
154,32.384,34.848
155,32.384,34.86
156,32.384,34.872
157,32.384,34.884
158,32.384,34.896
159,32.384,34.908
160,32.384,34.92
161,32.384,34.932
162,32.384,34.944
163,32.384,34.956
164,32.384,34.968
165,32.384,34.98
166,32.384,34.992
167,32.384,35.004
168,32.384,35.016
169,32.384,35.028
170,32.384,35.04
171,32.384,35.052
172,32.395,34.776
173,32.395,34.788
174,32.395,34.8
175,32.395,34.812
176,32.395,34.824
177,32.395,34.836
178,32.395,34.848
179,32.395,34.86
180,32.395,34.872
181,32.395,34.884
182,32.395,34.896
183,32.395,34.908
184,32.395,34.92
185,32.395,34.932
186,32.395,34.944
187,32.395,34.956
188,32.395,34.968
189,32.395,34.98
190,32.395,34.992
191,32.395,35.004
192,32.395,35.016
193,32.395,35.028
194,32.395,35.04
195,32.395,35.052
196,32.406,34.752
197,32.406,34.764
198,32.406,34.776
199,32.406,34.788
200,32.406,34.8
201,32.406,34.812
202,32.406,34.824
203,32.406,34.836
204,32.406,34.848
205,32.406,34.86
206,32.406,34.872
207,32.406,34.884
208,32.406,34.896
209,32.406,34.908
210,32.406,34.92
211,32.406,34.932
212,32.406,34.944
213,32.406,34.956
214,32.406,34.968
215,32.406,34.98
216,32.406,34.992
217,32.406,35.004
218,32.406,35.016
219,32.406,35.028
220,32.406,35.04
221,32.406,35.052
222,32.417,34.752
223,32.417,34.764
224,32.417,34.776
225,32.417,34.788
226,32.417,34.8
227,32.417,34.812
228,32.417,34.824
229,32.417,34.836
230,32.417,34.848
231,32.417,34.86
232,32.417,34.872
233,32.417,34.884
234,32.417,34.896
235,32.417,34.908
236,32.417,34.92
237,32.417,34.932
238,32.417,34.944
239,32.417,34.956
240,32.417,34.968
241,32.417,34.98
242,32.417,34.992
243,32.417,35.004
244,32.417,35.016
245,32.417,35.028
246,32.417,35.04
247,32.417,35.052
248,32.428,34.74
249,32.428,34.752
250,32.428,34.764
251,32.428,34.776
252,32.428,34.788
253,32.428,34.8
254,32.428,34.812
255,32.428,34.824
256,32.428,34.836
257,32.428,34.848
258,32.428,34.86
259,32.428,34.872
260,32.428,34.884
261,32.428,34.896
262,32.428,34.908
263,32.428,34.92
264,32.428,34.932
265,32.428,34.944
266,32.428,34.956
267,32.428,34.968
268,32.428,34.98
269,32.428,34.992
270,32.428,35.004
271,32.428,35.016
272,32.428,35.028
273,32.428,35.04
274,32.428,35.052
275,32.439,34.728
276,32.439,34.74
277,32.439,34.752
278,32.439,34.764
279,32.439,34.776
280,32.439,34.788
281,32.439,34.8
282,32.439,34.812
283,32.439,34.824
284,32.439,34.836
285,32.439,34.848
286,32.439,34.86
287,32.439,34.872
288,32.439,34.884
289,32.439,34.896
290,32.439,34.908
291,32.439,34.92
292,32.439,34.932
293,32.439,34.944
294,32.439,34.956
295,32.439,34.968
296,32.439,34.98
297,32.439,34.992
298,32.439,35.004
299,32.439,35.016
300,32.439,35.028
301,32.439,35.04
302,32.439,35.052
303,32.45,34.728
304,32.45,34.74
305,32.45,34.752
306,32.45,34.764
307,32.45,34.776
308,32.45,34.788
309,32.45,34.8
310,32.45,34.812
311,32.45,34.824
312,32.45,34.836
313,32.45,34.848
314,32.45,34.86
315,32.45,34.872
316,32.45,34.884
317,32.45,34.896
318,32.45,34.908
319,32.45,34.92
320,32.45,34.932
321,32.45,34.944
322,32.45,34.956
323,32.45,34.968
324,32.45,34.98
325,32.45,34.992
326,32.45,35.004
327,32.45,35.016
328,32.45,35.028
329,32.45,35.04
330,32.45,35.052
331,32.45,35.064
332,32.461,34.716
333,32.461,34.728
334,32.461,34.74
335,32.461,34.752
336,32.461,34.764
337,32.461,34.776
338,32.461,34.788
339,32.461,34.8
340,32.461,34.812
341,32.461,34.824
342,32.461,34.836
343,32.461,34.848
344,32.461,34.86
345,32.461,34.872
346,32.461,34.884
347,32.461,34.896
348,32.461,34.908
349,32.461,34.92
350,32.461,34.932
351,32.461,34.944
352,32.461,34.956
353,32.461,34.968
354,32.461,34.98
355,32.461,34.992
356,32.461,35.004
357,32.461,35.016
358,32.461,35.028
359,32.461,35.04
360,32.461,35.052
361,32.461,35.064
362,32.461,35.076
363,32.472,34.716
364,32.472,34.728
365,32.472,34.74
366,32.472,34.752
367,32.472,34.764
368,32.472,34.776
369,32.472,34.788
370,32.472,34.8
371,32.472,34.812
372,32.472,34.824
373,32.472,34.836
374,32.472,34.848
375,32.472,34.86
376,32.472,34.872
377,32.472,34.884
378,32.472,34.896
379,32.472,34.908
380,32.472,34.92
381,32.472,34.932
382,32.472,34.944
383,32.472,34.956
384,32.472,34.968
385,32.472,34.98
386,32.472,34.992
387,32.472,35.004
388,32.472,35.016
389,32.472,35.028
390,32.472,35.04
391,32.472,35.052
392,32.472,35.064
393,32.472,35.076
394,32.472,35.088
395,32.483,34.704
396,32.483,34.716
397,32.483,34.728
398,32.483,34.74
399,32.483,34.752
400,32.483,34.764
401,32.483,34.776
402,32.483,34.788
403,32.483,34.8
404,32.483,34.812
405,32.483,34.824
406,32.483,34.836
407,32.483,34.848
408,32.483,34.86
409,32.483,34.872
410,32.483,34.884
411,32.483,34.896
412,32.483,34.908
413,32.483,34.92
414,32.483,34.932
415,32.483,34.944
416,32.483,34.956
417,32.483,34.968
418,32.483,34.98
419,32.483,34.992
420,32.483,35.004
421,32.483,35.016
422,32.483,35.028
423,32.483,35.04
424,32.483,35.052
425,32.483,35.064
426,32.483,35.076
427,32.483,35.088
428,32.483,35.1
429,32.494,34.704
430,32.494,34.716
431,32.494,34.728
432,32.494,34.74
433,32.494,34.752
434,32.494,34.764
435,32.494,34.776
436,32.494,34.788
437,32.494,34.8
438,32.494,34.812
439,32.494,34.824
440,32.494,34.836
441,32.494,34.848
442,32.494,34.86
443,32.494,34.872
444,32.494,34.884
445,32.494,34.896
446,32.494,34.908
447,32.494,34.92
448,32.494,34.932
449,32.494,34.944
450,32.494,34.956
451,32.494,34.968
452,32.494,34.98
453,32.494,34.992
454,32.494,35.004
455,32.494,35.016
456,32.494,35.028
457,32.494,35.04
458,32.494,35.052
459,32.494,35.064
460,32.494,35.076
461,32.494,35.088
462,32.494,35.1
463,32.494,35.112
464,32.505,34.704
465,32.505,34.716
466,32.505,34.728
467,32.505,34.74
468,32.505,34.752
469,32.505,34.764
470,32.505,34.776
471,32.505,34.788
472,32.505,34.8
473,32.505,34.812
474,32.505,34.824
475,32.505,34.836
476,32.505,34.848
477,32.505,34.86
478,32.505,34.872
479,32.505,34.884
480,32.505,34.896
481,32.505,34.908
482,32.505,34.92
483,32.505,34.932
484,32.505,34.944
485,32.505,34.956
486,32.505,34.968
487,32.505,34.98
488,32.505,34.992
489,32.505,35.004
490,32.505,35.016
491,32.505,35.028
492,32.505,35.04
493,32.505,35.052
494,32.505,35.064
495,32.505,35.076
496,32.505,35.088
497,32.505,35.1
498,32.505,35.112
499,32.505,35.124
500,32.516,34.704
501,32.516,34.716
502,32.516,34.728
503,32.516,34.74
504,32.516,34.752
505,32.516,34.764
506,32.516,34.776
507,32.516,34.788
508,32.516,34.8
509,32.516,34.812
510,32.516,34.824
511,32.516,34.836
512,32.516,34.848
513,32.516,34.86
514,32.516,34.872
515,32.516,34.884
516,32.516,34.896
517,32.516,34.908
518,32.516,34.92
519,32.516,34.932
520,32.516,34.944
521,32.516,34.956
522,32.516,34.968
523,32.516,34.98
524,32.516,34.992
525,32.516,35.004
526,32.516,35.016
527,32.516,35.028
528,32.516,35.04
529,32.516,35.052
530,32.516,35.064
531,32.516,35.076
532,32.516,35.088
533,32.516,35.1
534,32.516,35.112
535,32.516,35.124
536,32.516,35.136
537,32.516,35.148
538,32.527,34.704
539,32.527,34.716
540,32.527,34.728
541,32.527,34.74
542,32.527,34.752
543,32.527,34.764
544,32.527,34.776
545,32.527,34.788
546,32.527,34.8
547,32.527,34.812
548,32.527,34.824
549,32.527,34.836
550,32.527,34.848
551,32.527,34.86
552,32.527,34.872
553,32.527,34.884
554,32.527,34.896
555,32.527,34.908
556,32.527,34.92
557,32.527,34.932
558,32.527,34.944
559,32.527,34.956
560,32.527,34.968
561,32.527,34.98
562,32.527,34.992
563,32.527,35.004
564,32.527,35.016
565,32.527,35.028
566,32.527,35.04
567,32.527,35.052
568,32.527,35.064
569,32.527,35.076
570,32.527,35.088
571,32.527,35.1
572,32.527,35.112
573,32.527,35.124
574,32.527,35.136
575,32.527,35.148
576,32.538,34.704
577,32.538,34.716
578,32.538,34.728
579,32.538,34.74
580,32.538,34.752
581,32.538,34.764
582,32.538,34.776
583,32.538,34.788
584,32.538,34.8
585,32.538,34.812
586,32.538,34.824
587,32.538,34.836
588,32.538,34.848
589,32.538,34.86
590,32.538,34.872
591,32.538,34.884
592,32.538,34.896
593,32.538,34.908
594,32.538,34.92
595,32.538,34.932
596,32.538,34.944
597,32.538,34.956
598,32.538,34.968
599,32.538,34.98
600,32.538,34.992
601,32.538,35.004
602,32.538,35.016
603,32.538,35.028
604,32.538,35.04
605,32.538,35.052
606,32.538,35.064
607,32.538,35.076
608,32.538,35.088
609,32.538,35.1
610,32.538,35.112
611,32.538,35.124
612,32.538,35.136
613,32.538,35.148
614,32.538,35.16
615,32.538,35.172
616,32.549,34.704
617,32.549,34.716
618,32.549,34.728
619,32.549,34.74
620,32.549,34.752
621,32.549,34.764
622,32.549,34.776
623,32.549,34.788
624,32.549,34.8
625,32.549,34.812
626,32.549,34.824
627,32.549,34.836
628,32.549,34.848
629,32.549,34.86
630,32.549,34.872
631,32.549,34.884
632,32.549,34.896
633,32.549,34.908
634,32.549,34.92
635,32.549,34.932
636,32.549,34.944
637,32.549,34.956
638,32.549,34.968
639,32.549,34.98
640,32.549,34.992
641,32.549,35.004
642,32.549,35.016
643,32.549,35.028
644,32.549,35.04
645,32.549,35.052
646,32.549,35.064
647,32.549,35.076
648,32.549,35.088
649,32.549,35.1
650,32.549,35.112
651,32.549,35.124
652,32.549,35.136
653,32.549,35.148
654,32.549,35.16
655,32.549,35.172
656,32.56,34.692
657,32.56,34.704
658,32.56,34.716
659,32.56,34.728
660,32.56,34.74
661,32.56,34.752
662,32.56,34.764
663,32.56,34.776
664,32.56,34.788
665,32.56,34.8
666,32.56,34.812
667,32.56,34.824
668,32.56,34.836
669,32.56,34.848
670,32.56,34.86
671,32.56,34.872
672,32.56,34.884
673,32.56,34.896
674,32.56,34.908
675,32.56,34.92
676,32.56,34.932
677,32.56,34.944
678,32.56,34.956
679,32.56,34.968
680,32.56,34.98
681,32.56,34.992
682,32.56,35.004
683,32.56,35.016
684,32.56,35.028
685,32.56,35.04
686,32.56,35.052
687,32.56,35.064
688,32.56,35.076
689,32.56,35.088
690,32.56,35.1
691,32.56,35.112
692,32.56,35.124
693,32.56,35.136
694,32.56,35.148
695,32.56,35.16
696,32.56,35.172
697,32.571,34.692
698,32.571,34.704
699,32.571,34.716
700,32.571,34.728
701,32.571,34.74
702,32.571,34.752
703,32.571,34.764
704,32.571,34.776
705,32.571,34.788
706,32.571,34.8
707,32.571,34.812
708,32.571,34.824
709,32.571,34.836
710,32.571,34.848
711,32.571,34.86
712,32.571,34.872
713,32.571,34.884
714,32.571,34.896
715,32.571,34.908
716,32.571,34.92
717,32.571,34.932
718,32.571,34.944
719,32.571,34.956
720,32.571,34.968
721,32.571,34.98
722,32.571,34.992
723,32.571,35.004
724,32.571,35.016
725,32.571,35.028
726,32.571,35.04
727,32.571,35.052
728,32.571,35.064
729,32.571,35.076
730,32.571,35.088
731,32.571,35.1
732,32.571,35.112
733,32.571,35.124
734,32.571,35.136
735,32.571,35.148
736,32.571,35.16
737,32.571,35.172
738,32.582,34.68
739,32.582,34.692
740,32.582,34.704
741,32.582,34.716
742,32.582,34.728
743,32.582,34.74
744,32.582,34.752
745,32.582,34.764
746,32.582,34.776
747,32.582,34.788
748,32.582,34.8
749,32.582,34.812
750,32.582,34.824
751,32.582,34.836
752,32.582,34.848
753,32.582,34.86
754,32.582,34.872
755,32.582,34.884
756,32.582,34.896
757,32.582,34.908
758,32.582,34.92
759,32.582,34.932
760,32.582,34.944
761,32.582,34.956
762,32.582,34.968
763,32.582,34.98
764,32.582,34.992
765,32.582,35.004
766,32.582,35.016
767,32.582,35.028
768,32.582,35.04
769,32.582,35.052
770,32.582,35.064
771,32.582,35.076
772,32.582,35.088
773,32.582,35.1
774,32.582,35.112
775,32.582,35.124
776,32.582,35.136
777,32.582,35.148
778,32.582,35.16
779,32.582,35.172
780,32.582,35.184
781,32.593,34.68
782,32.593,34.692
783,32.593,34.704
784,32.593,34.716
785,32.593,34.728
786,32.593,34.74
787,32.593,34.752
788,32.593,34.764
789,32.593,34.776
790,32.593,34.788
791,32.593,34.8
792,32.593,34.812
793,32.593,34.824
794,32.593,34.836
795,32.593,34.848
796,32.593,34.86
797,32.593,34.872
798,32.593,34.884
799,32.593,34.896
800,32.593,34.908
801,32.593,34.92
802,32.593,34.932
803,32.593,34.944
804,32.593,34.956
805,32.593,34.968
806,32.593,34.98
807,32.593,34.992
808,32.593,35.004
809,32.593,35.016
810,32.593,35.028
811,32.593,35.04
812,32.593,35.052
813,32.593,35.064
814,32.593,35.076
815,32.593,35.088
816,32.593,35.1
817,32.593,35.112
818,32.593,35.124
819,32.593,35.136
820,32.593,35.148
821,32.593,35.16
822,32.593,35.172
823,32.593,35.184
824,32.604,34.68
825,32.604,34.692
826,32.604,34.704
827,32.604,34.716
828,32.604,34.728
829,32.604,34.74
830,32.604,34.752
831,32.604,34.764
832,32.604,34.776
833,32.604,34.788
834,32.604,34.8
835,32.604,34.812
836,32.604,34.824
837,32.604,34.836
838,32.604,34.848
839,32.604,34.86
840,32.604,34.872
841,32.604,34.884
842,32.604,34.896
843,32.604,34.908
844,32.604,34.92
845,32.604,34.932
846,32.604,34.944
847,32.604,34.956
848,32.604,34.968
849,32.604,34.98
850,32.604,34.992
851,32.604,35.004
852,32.604,35.016
853,32.604,35.028
854,32.604,35.04
855,32.604,35.052
856,32.604,35.064
857,32.604,35.076
858,32.604,35.088
859,32.604,35.1
860,32.604,35.112
861,32.604,35.124
862,32.604,35.136
863,32.604,35.148
864,32.604,35.16
865,32.604,35.172
866,32.604,35.184
867,32.615,34.668
868,32.615,34.68
869,32.615,34.692
870,32.615,34.704
871,32.615,34.716
872,32.615,34.728
873,32.615,34.74
874,32.615,34.752
875,32.615,34.764
876,32.615,34.776
877,32.615,34.788
878,32.615,34.8
879,32.615,34.812
880,32.615,34.824
881,32.615,34.836
882,32.615,34.848
883,32.615,34.86
884,32.615,34.872
885,32.615,34.884
886,32.615,34.896
887,32.615,34.908
888,32.615,34.92
889,32.615,34.932
890,32.615,34.944
891,32.615,34.956
892,32.615,34.968
893,32.615,34.98
894,32.615,34.992
895,32.615,35.004
896,32.615,35.016
897,32.615,35.028
898,32.615,35.04
899,32.615,35.052
900,32.615,35.064
901,32.615,35.076
902,32.615,35.088
903,32.615,35.1
904,32.615,35.112
905,32.615,35.124
906,32.615,35.136
907,32.615,35.148
908,32.615,35.16
909,32.615,35.172
910,32.615,35.184
911,32.615,35.196
912,32.626,34.668
913,32.626,34.68
914,32.626,34.692
915,32.626,34.704
916,32.626,34.716
917,32.626,34.728
918,32.626,34.74
919,32.626,34.752
920,32.626,34.764
921,32.626,34.776
922,32.626,34.788
923,32.626,34.8
924,32.626,34.812
925,32.626,34.824
926,32.626,34.836
927,32.626,34.848
928,32.626,34.86
929,32.626,34.872
930,32.626,34.884
931,32.626,34.896
932,32.626,34.908
933,32.626,34.92
934,32.626,34.932
935,32.626,34.944
936,32.626,34.956
937,32.626,34.968
938,32.626,34.98
939,32.626,34.992
940,32.626,35.004
941,32.626,35.016
942,32.626,35.028
943,32.626,35.04
944,32.626,35.052
945,32.626,35.064
946,32.626,35.076
947,32.626,35.088
948,32.626,35.1
949,32.626,35.112
950,32.626,35.124
951,32.626,35.136
952,32.626,35.148
953,32.626,35.16
954,32.626,35.172
955,32.626,35.184
956,32.626,35.196
957,32.637,34.656
958,32.637,34.668
959,32.637,34.68
960,32.637,34.692
961,32.637,34.704
962,32.637,34.716
963,32.637,34.728
964,32.637,34.74
965,32.637,34.752
966,32.637,34.764
967,32.637,34.776
968,32.637,34.788
969,32.637,34.8
970,32.637,34.812
971,32.637,34.824
972,32.637,34.836
973,32.637,34.848
974,32.637,34.86
975,32.637,34.872
976,32.637,34.884
977,32.637,34.896
978,32.637,34.908
979,32.637,34.92
980,32.637,34.932
981,32.637,34.944
982,32.637,34.956
983,32.637,34.968
984,32.637,34.98
985,32.637,34.992
986,32.637,35.004
987,32.637,35.016
988,32.637,35.028
989,32.637,35.04
990,32.637,35.052
991,32.637,35.064
992,32.637,35.076
993,32.637,35.088
994,32.637,35.1
995,32.637,35.112
996,32.637,35.124
997,32.637,35.136
998,32.637,35.148
999,32.637,35.16
1000,32.637,35.172
1001,32.637,35.184
1002,32.637,35.196
1003,32.648,34.656
1004,32.648,34.668
1005,32.648,34.68
1006,32.648,34.692
1007,32.648,34.704
1008,32.648,34.716
1009,32.648,34.728
1010,32.648,34.74
1011,32.648,34.752
1012,32.648,34.764
1013,32.648,34.776
1014,32.648,34.788
1015,32.648,34.8
1016,32.648,34.812
1017,32.648,34.824
1018,32.648,34.836
1019,32.648,34.848
1020,32.648,34.86
1021,32.648,34.872
1022,32.648,34.884
1023,32.648,34.896
1024,32.648,34.908
1025,32.648,34.92
1026,32.648,34.932
1027,32.648,34.944
1028,32.648,34.956
1029,32.648,34.968
1030,32.648,34.98
1031,32.648,34.992
1032,32.648,35.004
1033,32.648,35.016
1034,32.648,35.028
1035,32.648,35.04
1036,32.648,35.052
1037,32.648,35.064
1038,32.648,35.076
1039,32.648,35.088
1040,32.648,35.1
1041,32.648,35.112
1042,32.648,35.124
1043,32.648,35.136
1044,32.648,35.148
1045,32.648,35.16
1046,32.648,35.172
1047,32.648,35.184
1048,32.648,35.196
1049,32.659,34.644
1050,32.659,34.656
1051,32.659,34.668
1052,32.659,34.68
1053,32.659,34.692
1054,32.659,34.704
1055,32.659,34.716
1056,32.659,34.728
1057,32.659,34.74
1058,32.659,34.752
1059,32.659,34.764
1060,32.659,34.776
1061,32.659,34.788
1062,32.659,34.8
1063,32.659,34.812
1064,32.659,34.824
1065,32.659,34.836
1066,32.659,34.848
1067,32.659,34.86
1068,32.659,34.872
1069,32.659,34.884
1070,32.659,34.896
1071,32.659,34.908
1072,32.659,34.92
1073,32.659,34.932
1074,32.659,34.944
1075,32.659,34.956
1076,32.659,34.968
1077,32.659,34.98
1078,32.659,34.992
1079,32.659,35.004
1080,32.659,35.016
1081,32.659,35.028
1082,32.659,35.04
1083,32.659,35.052
1084,32.659,35.064
1085,32.659,35.076
1086,32.659,35.088
1087,32.659,35.1
1088,32.659,35.112
1089,32.659,35.124
1090,32.659,35.136
1091,32.659,35.148
1092,32.659,35.16
1093,32.659,35.172
1094,32.659,35.184
1095,32.659,35.196
1096,32.67,34.644
1097,32.67,34.656
1098,32.67,34.668
1099,32.67,34.68
1100,32.67,34.692
1101,32.67,34.704
1102,32.67,34.716
1103,32.67,34.728
1104,32.67,34.74
1105,32.67,34.752
1106,32.67,34.764
1107,32.67,34.776
1108,32.67,34.788
1109,32.67,34.8
1110,32.67,34.812
1111,32.67,34.824
1112,32.67,34.836
1113,32.67,34.848
1114,32.67,34.86
1115,32.67,34.872
1116,32.67,34.884
1117,32.67,34.896
1118,32.67,34.908
1119,32.67,34.92
1120,32.67,34.932
1121,32.67,34.944
1122,32.67,34.956
1123,32.67,34.968
1124,32.67,34.98
1125,32.67,34.992
1126,32.67,35.004
1127,32.67,35.016
1128,32.67,35.028
1129,32.67,35.04
1130,32.67,35.052
1131,32.67,35.064
1132,32.67,35.076
1133,32.67,35.088
1134,32.67,35.1
1135,32.67,35.112
1136,32.67,35.124
1137,32.67,35.136
1138,32.67,35.148
1139,32.67,35.16
1140,32.67,35.172
1141,32.67,35.184
1142,32.67,35.196
1143,32.681,34.644
1144,32.681,34.656
1145,32.681,34.668
1146,32.681,34.68
1147,32.681,34.692
1148,32.681,34.704
1149,32.681,34.716
1150,32.681,34.728
1151,32.681,34.74
1152,32.681,34.752
1153,32.681,34.764
1154,32.681,34.776
1155,32.681,34.788
1156,32.681,34.8
1157,32.681,34.812
1158,32.681,34.824
1159,32.681,34.836
1160,32.681,34.848
1161,32.681,34.86
1162,32.681,34.872
1163,32.681,34.884
1164,32.681,34.896
1165,32.681,34.908
1166,32.681,34.92
1167,32.681,34.932
1168,32.681,34.944
1169,32.681,34.956
1170,32.681,34.968
1171,32.681,34.98
1172,32.681,34.992
1173,32.681,35.004
1174,32.681,35.016
1175,32.681,35.028
1176,32.681,35.04
1177,32.681,35.052
1178,32.681,35.064
1179,32.681,35.076
1180,32.681,35.088
1181,32.681,35.1
1182,32.681,35.112
1183,32.681,35.124
1184,32.681,35.136
1185,32.681,35.148
1186,32.681,35.16
1187,32.681,35.172
1188,32.681,35.184
1189,32.681,35.196
1190,32.692,34.644
1191,32.692,34.656
1192,32.692,34.668
1193,32.692,34.68
1194,32.692,34.692
1195,32.692,34.704
1196,32.692,34.716
1197,32.692,34.728
1198,32.692,34.74
1199,32.692,34.752
1200,32.692,34.764
1201,32.692,34.776
1202,32.692,34.788
1203,32.692,34.8
1204,32.692,34.812
1205,32.692,34.824
1206,32.692,34.836
1207,32.692,34.848
1208,32.692,34.86
1209,32.692,34.872
1210,32.692,34.884
1211,32.692,34.896
1212,32.692,34.908
1213,32.692,34.92
1214,32.692,34.932
1215,32.692,34.944
1216,32.692,34.956
1217,32.692,34.968
1218,32.692,34.98
1219,32.692,34.992
1220,32.692,35.004
1221,32.692,35.016
1222,32.692,35.028
1223,32.692,35.04
1224,32.692,35.052
1225,32.692,35.064
1226,32.692,35.076
1227,32.692,35.088
1228,32.692,35.1
1229,32.692,35.112
1230,32.692,35.124
1231,32.692,35.136
1232,32.692,35.148
1233,32.692,35.16
1234,32.692,35.172
1235,32.692,35.184
1236,32.703,34.644
1237,32.703,34.656
1238,32.703,34.668
1239,32.703,34.68
1240,32.703,34.692
1241,32.703,34.704
1242,32.703,34.716
1243,32.703,34.728
1244,32.703,34.74
1245,32.703,34.752
1246,32.703,34.764
1247,32.703,34.776
1248,32.703,34.788
1249,32.703,34.8
1250,32.703,34.812
1251,32.703,34.824
1252,32.703,34.836
1253,32.703,34.848
1254,32.703,34.86
1255,32.703,34.872
1256,32.703,34.884
1257,32.703,34.896
1258,32.703,34.908
1259,32.703,34.92
1260,32.703,34.932
1261,32.703,34.944
1262,32.703,34.956
